Person;birth place;birth date;wikilink;latitude;longitude
Putter Smith;Bell, California;19/01/1941;http://wikipedia.org/wiki/Putter_Smith; 33.98;-118.18
Maggie Smith;Essex;28/12/1934;http://wikipedia.org/wiki/Maggie_Smith; 51.75;   0.58
Robert Smith (musician);Lancashire;21/04/1959;http://wikipedia.org/wiki/Robert_Smith_(musician); 53.80;  -2.60
Amery Smith;Los Angeles;03/08/1964;http://wikipedia.org/wiki/Amery_Smith; 34.05;-118.25
Richard Smith (English guitarist);Beckenham;12/12/1971;http://wikipedia.org/wiki/Richard_Smith_(English_guitarist); 51.41;  -0.02
Robert Smith (musician);Blackpool;21/04/1959;http://wikipedia.org/wiki/Robert_Smith_(musician); 53.81;  -3.05
Maggie Smith;Ilford;28/12/1934;http://wikipedia.org/wiki/Maggie_Smith; 51.56;   0.09
Jabbo Smith;Pembroke, Georgia;24/12/1908;http://wikipedia.org/wiki/Jabbo_Smith; 32.14; -81.62
Broderick Smith;Hertfordshire, England;17/02/1948;http://wikipedia.org/wiki/Broderick_Smith;    NA;     NA
Frederic Marlett Bell-Smith;England;1846-09-26;http://wikipedia.org/wiki/Frederic_Marlett_Bell-Smith; 51.50;  -0.12
Frederic Marlett Bell-Smith;London;1846-09-26;http://wikipedia.org/wiki/Frederic_Marlett_Bell-Smith; 51.51;  -0.13
Major Bill Smith;Checotah, Oklahoma;21/01/1922;http://wikipedia.org/wiki/Major_Bill_Smith; 35.47; -95.52
Nick Smith (milliner);Liverpool;09/11/1979;http://wikipedia.org/wiki/Nick_Smith_(milliner); 53.40;  -2.98
Spencer Smith (musician);Denver;02/09/1987;http://wikipedia.org/wiki/Spencer_Smith_(musician); 39.76;-104.88
Jason Barry-Smith;Queensland;12/12/1969;http://wikipedia.org/wiki/Jason_Barry-Smith; 23.00; 143.00
O. C. Smith;Mansfield, Louisiana;21/06/1932;http://wikipedia.org/wiki/O._C._Smith; 32.03; -93.70
George Logie-Smith;Australia;02/12/1914;http://wikipedia.org/wiki/George_Logie-Smith;-35.30; 149.13
Johnny Smith;Birmingham, Alabama;25/06/1922;http://wikipedia.org/wiki/Johnny_Smith; 33.65; -86.81
Jason Barry-Smith;Brisbane;12/12/1969;http://wikipedia.org/wiki/Jason_Barry-Smith; 27.47; 153.03
Dallas Smith (singer);Canada;04/12/1977;http://wikipedia.org/wiki/Dallas_Smith_(singer); 60.00; -95.00
Tommy Smith (saxophonist);Edinburgh;27/04/1967;http://wikipedia.org/wiki/Tommy_Smith_(saxophonist); 55.95;  -3.19
Nick Glennie-Smith;England;03/10/1951;http://wikipedia.org/wiki/Nick_Glennie-Smith; 51.50;  -0.12
Nick Smith (milliner);England;09/11/1979;http://wikipedia.org/wiki/Nick_Smith_(milliner); 51.50;  -0.12
Paul Smith (fashion designer);England;05/07/1946;http://wikipedia.org/wiki/Paul_Smith_(fashion_designer); 51.50;  -0.12
T. V. Smith;England;05/04/1956;http://wikipedia.org/wiki/T._V._Smith; 51.50;  -0.12
Michael Smith (performance artist);Illinois;08/03/1951;http://wikipedia.org/wiki/Michael_Smith_(performance_artist); 41.28; -88.38
Kyla-Rose Smith;Johannesburg;10/09/1982;http://wikipedia.org/wiki/Kyla-Rose_Smith; 26.20;  28.05
Nick Glennie-Smith;London;03/10/1951;http://wikipedia.org/wiki/Nick_Glennie-Smith; 51.51;  -0.13
George Logie-Smith;Melbourne;02/12/1914;http://wikipedia.org/wiki/George_Logie-Smith;-37.81; 144.96
Kiki Smith;Nuremberg;18/01/1954;http://wikipedia.org/wiki/Kiki_Smith; 49.45;  11.08
Sandy Smith;Scotland;02/08/1983;http://wikipedia.org/wiki/Sandy_Smith; 55.85;  -4.27
Jack Smith (artist);United Kingdom;18/06/1928;http://wikipedia.org/wiki/Jack_Smith_(artist); 51.50;  -0.12
Lonnie Liston Smith;United States;28/12/1940;http://wikipedia.org/wiki/Lonnie_Liston_Smith; 40.72; -74.00
O. C. Smith;United States;21/06/1932;http://wikipedia.org/wiki/O._C._Smith; 40.72; -74.00
Travis Smith (musician);United States;29/04/1982;http://wikipedia.org/wiki/Travis_Smith_(musician); 40.72; -74.00
Rick Smith (Underworld);Wales;25/05/1959;http://wikipedia.org/wiki/Rick_Smith_(Underworld); 52.30;  -3.60
Michael Smith (performance artist);Chicago;08/03/1951;http://wikipedia.org/wiki/Michael_Smith_(performance_artist); 41.84; -87.68
O. C. Smith;Louisiana;21/06/1932;http://wikipedia.org/wiki/O._C._Smith; 31.00; -92.00
"Johnny ""Hammond"" Smith";Louisville, Kentucky;16/12/1933;"http://wikipedia.org/wiki/Johnny_""Hammond""_Smith"; 38.25; -85.77
Kiki Smith;West Germany;18/01/1954;http://wikipedia.org/wiki/Kiki_Smith; 50.73;   7.10
Chris Smither;Miami;11/11/1944;http://wikipedia.org/wiki/Chris_Smither; 25.78; -80.21
Chad Smith;Saint Paul, Minnesota;25/10/1961;http://wikipedia.org/wiki/Chad_Smith; 44.94; -93.09
Zak Smith;Syracuse, New York;16/07/1976;http://wikipedia.org/wiki/Zak_Smith; 43.05; -76.14
Paul Smith (rock vocalist);County Durham;13/03/1979;http://wikipedia.org/wiki/Paul_Smith_(rock_vocalist); 54.67;  -1.83
Sandy Smith;Dunbar;02/08/1983;http://wikipedia.org/wiki/Sandy_Smith; 56.00;  -2.52
Adrian Smith;London Borough of Hackney;27/02/1957;http://wikipedia.org/wiki/Adrian_Smith; 51.55;  -0.06
Dallas Smith (singer);British Columbia;04/12/1977;http://wikipedia.org/wiki/Dallas_Smith_(singer); 54.00;-125.00
Lonnie Smith (jazz musician);Lackawanna, New York;03/07/1942;http://wikipedia.org/wiki/Lonnie_Smith_(jazz_musician); 42.82; -78.83
Willi Smith;Philadelphia;29/02/1948;http://wikipedia.org/wiki/Willi_Smith; 39.95; -75.17
Robert Smithson;Passaic, New Jersey;02/01/1938;http://wikipedia.org/wiki/Robert_Smithson; 40.86; -74.13
"Tyler ""Telle"" Smith";Dayton, Ohio;09/08/1986;"http://wikipedia.org/wiki/Tyler_""Telle""_Smith"; 39.76; -84.19
Todd Smith (musician);Rockville, Maryland;03/12/1975;http://wikipedia.org/wiki/Todd_Smith_(musician); 39.08; -77.15
Lonnie Liston Smith;Richmond, Virginia;28/12/1940;http://wikipedia.org/wiki/Lonnie_Liston_Smith; 37.53; -77.47
Michael Peter Smith;South Orange, New Jersey;07/09/1941;http://wikipedia.org/wiki/Michael_Peter_Smith; 40.75; -74.26
Tony Smith (sculptor);South Orange, New Jersey;23/09/1912;http://wikipedia.org/wiki/Tony_Smith_(sculptor); 40.75; -74.26
Jack Smith (artist);Sheffield;18/06/1928;http://wikipedia.org/wiki/Jack_Smith_(artist); 53.38;  -1.47
Wadada Leo Smith;Leland, Mississippi;18/12/1941;http://wikipedia.org/wiki/Wadada_Leo_Smith; 33.41; -90.90
Michael W. Smith;Kenova, West Virginia;07/10/1957;http://wikipedia.org/wiki/Michael_W._Smith; 38.40; -82.58
Rick Smith (Underworld);Carmarthenshire;25/05/1959;http://wikipedia.org/wiki/Rick_Smith_(Underworld); 51.86;  -4.31
Elliott Smith;Omaha, Nebraska;06/08/1969;http://wikipedia.org/wiki/Elliott_Smith; 41.25; -96.00
Cal Smith;Gans, Oklahoma;07/04/1932;http://wikipedia.org/wiki/Cal_Smith; 35.39; -94.69
Robert W. Smith (musician);Daleville, Alabama;24/10/1958;http://wikipedia.org/wiki/Robert_W._Smith_(musician); 31.30; -85.71
Paul Smith (rock vocalist);Billingham;13/03/1979;http://wikipedia.org/wiki/Paul_Smith_(rock_vocalist); 54.61;  -1.27
Jimmy Smith (musician);Norristown, Pennsylvania;08/12/1925;http://wikipedia.org/wiki/Jimmy_Smith_(musician); 40.12; -75.34
T. V. Smith;Romford;05/04/1956;http://wikipedia.org/wiki/T._V._Smith; 51.58;   0.18
Paul Smith (fashion designer);Beeston, Nottinghamshire;05/07/1946;http://wikipedia.org/wiki/Paul_Smith_(fashion_designer); 52.93;  -1.22
Rick Smith (Underworld);Ammanford;25/05/1959;http://wikipedia.org/wiki/Rick_Smith_(Underworld); 51.80;  -3.99
Mike Smith (guitarist);Middle River, Maryland;11/10/1973;http://wikipedia.org/wiki/Mike_Smith_(guitarist); 39.33; -76.44
Travis Smith (musician);Bainbridge, Georgia;29/04/1982;http://wikipedia.org/wiki/Travis_Smith_(musician); 30.90; -84.57
Tab Smith;Kinston, North Carolina;11/01/1909;http://wikipedia.org/wiki/Tab_Smith; 35.27; -77.58
Dallas Smith (singer);Langley, British Columbia (city);04/12/1977;http://wikipedia.org/wiki/Dallas_Smith_(singer); 49.10;-122.66
Fred Sledge Smith;Los Angeles, California;18/05/1933;http://wikipedia.org/wiki/Fred_Sledge_Smith;    NA;     NA
Willi Smith;Pennsylvania;29/02/1948;http://wikipedia.org/wiki/Willi_Smith;    NA;     NA
Paul Smith (pianist);San Diego, California;17/04/1922;http://wikipedia.org/wiki/Paul_Smith_(pianist);    NA;     NA
Corey Smith (artist);San Francisco, California;03/10/1977;http://wikipedia.org/wiki/Corey_Smith_(artist);    NA;     NA
Xanthus Russell Smith;Philadelphia, Pennsylvania;1839-02-26;http://wikipedia.org/wiki/Xanthus_Russell_Smith;    NA;     NA
"Fred ""Sonic"" Smith";West Virginia;14/09/1948;"http://wikipedia.org/wiki/Fred_""Sonic""_Smith";    NA;     NA
Travis Smith (musician);Georgia (U.S. state);29/04/1982;http://wikipedia.org/wiki/Travis_Smith_(musician);    NA;     NA
Todd Smith (musician);Maryland;03/12/1975;http://wikipedia.org/wiki/Todd_Smith_(musician);    NA;     NA
